JanDateTime,2021-01-01_14,2022-01-01_14,01_Avg,AugDateTime,2021-08-01_14,2022-08-01_14,08_Avg
 01/01  00:05:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:05:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:10:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:10:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:15:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:15:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:20:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:20:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:25:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:25:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:30:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:30:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:35:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:35:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:40:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:40:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:45:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:45:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:50:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:50:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  00:55:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  00:55:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  01:00:00,0.081033900708399,0.033400971202652,0.049812619894256, 08/01  01:00:00,0.05523511490369,0.039395785097435,0.043237376270694
 01/01  01:05:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:05:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:10:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:10:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:15:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:15:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:20:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:20:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:25:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:25:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:30:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:30:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:35:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:35:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:40:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:40:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:45:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:45:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:50:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:50:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  01:55:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  01:55:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  02:00:00,0.05418582282725,0.032025124243339,0.039660463990305, 08/01  02:00:00,0.050419644616935,0.038407460093797,0.041320834750433
 01/01  02:05:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:05:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:10:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:10:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:15:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:15:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:20:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:20:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:25:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:25:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:30:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:30:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:35:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:35:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:40:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:40:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:45:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:45:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:50:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:50:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  02:55:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  02:55:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  03:00:00,0.05873264725572,0.032752714753944,0.041703949323703, 08/01  03:00:00,0.051294881583787,0.035233150951567,0.039128682099585
 01/01  03:05:00,0.058513612435273,0.032860273601989,0.041698982223674, 08/01  03:05:00,0.050673233830667,0.033778650487115,0.037876177531652
 01/01  03:10:00,0.058513612435273,0.032860273601989,0.041698982223674, 08/01  03:10:00,0.050673233830667,0.033778650487115,0.037876177531652
 01/01  03:15:00,0.058513612435273,0.032860273601989,0.041698982223674, 08/01  03:15:00,0.050673233830667,0.033778650487115,0.037876177531652
