JanDateTime,TOU_Winter,2019-01_Raw,2020-01_Raw,2021-01_Raw,2022-01_Raw,01_Avg_Raw,2019-01,2020-01-01_14,2021-01-01_14,2022-01-01_14,01_Avg,AugDateTime,TOU_Summer,2019-08_Raw,2020-08_Raw,2021-08_Raw,2022-08_Raw,08_Avg_Raw,2019-08-01_14,2020-08-01_14,2021-08-01_14,2022-08-01_14,08_Avg,08_B=0.1,08_B=0.2,08_B=0.3,08_B=0.4
 01/01  00:05:00,0.37373,39.37,25.64,34.21,64.31,40.8825,0.367060931539451,0.323896488936204,0.381478378632237,0.423533292664357,0.382135168292678, 08/01  00:05:00,0.4247,37.43,29.38,67.67,89.2,55.92,0.497970594378383,0.351650568154892,0.466947692945497,0.433823875258632,0.43923658562523,0.438935176919185,0.43863376821314,0.438332359507096,0.438030950801051
 01/01  00:10:00,0.37373,39.37,25.64,34.21,64.31,40.8825,0.367060931539451,0.323896488936204,0.381478378632237,0.423533292664357,0.382135168292678, 08/01  00:10:00,0.4247,37.43,29.38,67.67,89.2,55.92,0.497970594378383,0.351650568154892,0.466947692945497,0.433823875258632,0.43923658562523,0.438935176919185,0.43863376821314,0.438332359507096,0.438030950801051
 01/01  00:15:00,0.37373,39.37,25.64,34.21,64.31,40.8825,0.367060931539451,0.323896488936204,0.381478378632237,0.423533292664357,0.382135168292678, 08/01  00:15:00,0.4247,37.43,29.38,67.67,89.2,55.92,0.497970594378383,0.351650568154892,0.466947692945497,0.433823875258632,0.43923658562523,0.438935176919185,0.43863376821314,0.438332359507096,0.438030950801051
 01/01  00:20:00,0.37373,37.19,25,32.25,63.75,39.5475,0.346735992988372,0.315811709181166,0.359622265737785,0.419845240356908,0.369656712971435, 08/01  00:20:00,0.4247,31.36,23.33,71.76,80.02,51.6175,0.417215010411598,0.279237840539606,0.495170185396318,0.389176978679325,0.405441603335306,0.41285741227872,0.420273221222135,0.427689030165549,0.435104839108964
 01/01  00:25:00,0.37373,37.19,25,32.25,63.75,39.5475,0.346735992988372,0.315811709181166,0.359622265737785,0.419845240356908,0.369656712971435, 08/01  00:25:00,0.4247,31.36,23.33,71.76,80.02,51.6175,0.417215010411598,0.279237840539606,0.495170185396318,0.389176978679325,0.405441603335306,0.41285741227872,0.420273221222135,0.427689030165549,0.435104839108964
 01/01  00:30:00,0.37373,37.19,25,32.25,63.75,39.5475,0.346735992988372,0.315811709181166,0.359622265737785,0.419845240356908,0.369656712971435, 08/01  00:30:00,0.4247,31.36,23.33,71.76,80.02,51.6175,0.417215010411598,0.279237840539606,0.495170185396318,0.389176978679325,0.405441603335306,0.41285741227872,0.420273221222135,0.427689030165549,0.435104839108964
 01/01  00:35:00,0.37373,37.06,24.04,33.96,63.32,39.595,0.345523955368353,0.303684539548609,0.378690609130393,0.417013343049403,0.370100702954775, 08/01  00:35:00,0.4247,31.06,21.6,58.42,80.1,47.795,0.413223795388527,0.2585313911554,0.403119317598285,0.389566058388077,0.375416892166628,0.389688962461596,0.403961032756564,0.418233103051531,0.432505173346499
 01/01  00:40:00,0.37373,37.06,24.04,33.96,63.32,39.595,0.345523955368353,0.303684539548609,0.378690609130393,0.417013343049403,0.370100702954775, 08/01  00:40:00,0.4247,31.06,21.6,58.42,80.1,47.795,0.413223795388527,0.2585313911554,0.403119317598285,0.389566058388077,0.375416892166628,0.389688962461596,0.403961032756564,0.418233103051531,0.432505173346499
 01/01  00:45:00,0.37373,37.06,24.04,33.96,63.32,39.595,0.345523955368353,0.303684539548609,0.378690609130393,0.417013343049403,0.370100702954775, 08/01  00:45:00,0.4247,31.06,21.6,58.42,80.1,47.795,0.413223795388527,0.2585313911554,0.403119317598285,0.389566058388077,0.375416892166628,0.389688962461596,0.403961032756564,0.418233103051531,0.432505173346499
 01/01  00:50:00,0.37373,30.79,22.57,30.6,62.88,36.71,0.28706644861823,0.285114811048757,0.341222987025619,0.414115587664979,0.343134153440328, 08/01  00:50:00,0.4247,29.94,19.36,52.67,74.18,44.0375,0.398323259302399,0.231720728368914,0.363442219409477,0.360774159940419,0.34590273854562,0.366914482360132,0.387926226174645,0.408937969989158,0.429949713803671
 01/01  00:55:00,0.37373,30.79,22.57,30.6,62.88,36.71,0.28706644861823,0.285114811048757,0.341222987025619,0.414115587664979,0.343134153440328, 08/01  00:55:00,0.4247,29.94,19.36,52.67,74.18,44.0375,0.398323259302399,0.231720728368914,0.363442219409477,0.360774159940419,0.34590273854562,0.366914482360132,0.387926226174645,0.408937969989158,0.429949713803671
 01/01  01:00:00,0.37373,30.79,22.57,30.6,62.88,36.71,0.28706644861823,0.285114811048757,0.341222987025619,0.414115587664979,0.343134153440328, 08/01  01:00:00,0.4247,29.94,19.36,52.67,74.18,44.0375,0.398323259302399,0.231720728368914,0.363442219409477,0.360774159940419,0.34590273854562,0.366914482360132,0.387926226174645,0.408937969989158,0.429949713803671
 01/01  01:05:00,0.37373,32.52,25.91,31.63,58.17,37.0575,0.303195872330784,0.327307255395361,0.352708597373214,0.383096433436256,0.346382290686869, 08/01  01:05:00,0.4247,30.28,23.57,60.88,80.93,48.915,0.402846636328545,0.282110411552444,0.420094215258192,0.39360276036638,0.384214191449537,0.396477363716057,0.408740535982578,0.421003708249098,0.433266880515619
