JanDateTime,TOU_Winter,2018-01,2019-01,2020-01-01_14,2021-01-01_14,2022-01-01_14,01_Avg,AugDateTime,TOU_Summer,2018-08-01_14,2019-08-01_14,2020-08-01_14,2021-08-01_14,2022-08-01_14,08_Avg
 01/01  00:05:00,0,0.150382149736792,0.069560916521763,0.117206272224892,0.117939900202953,0.26350701626419,0.153512261234313, 08/01  00:05:00,0,0.095590102253282,0.01355719203146,0.096026025673611,0.111445704885413,0.106517828886491,0.061097282988276
 01/01  00:10:00,0,0.150382149736792,0.069560916521763,0.117206272224892,0.117939900202953,0.26350701626419,0.153512261234313, 08/01  00:10:00,0,0.095590102253282,0.01355719203146,0.096026025673611,0.111445704885413,0.106517828886491,0.061097282988276
 01/01  00:15:00,0,0.150382149736792,0.069560916521763,0.117206272224892,0.117939900202953,0.26350701626419,0.153512261234313, 08/01  00:15:00,0,0.095590102253282,0.01355719203146,0.096026025673611,0.111445704885413,0.106517828886491,0.061097282988276
 01/01  00:20:00,0,0.150436478548113,0.093184144051731,0.133761893341731,0.115337191182081,0.593614158751911,0.245015593171383, 08/01  00:20:00,0,0.09519181016056,0.013530346106645,0.093768632665009,0.113190368459412,0.10068211399867,0.059509953702588
 01/01  00:25:00,0,0.150436478548113,0.093184144051731,0.133761893341731,0.115337191182081,0.593614158751911,0.245015593171383, 08/01  00:25:00,0,0.09519181016056,0.013530346106645,0.093768632665009,0.113190368459412,0.10068211399867,0.059509953702588
 01/01  00:30:00,0,0.150436478548113,0.093184144051731,0.133761893341731,0.115337191182081,0.593614158751911,0.245015593171383, 08/01  00:30:00,0,0.09519181016056,0.013530346106645,0.093768632665009,0.113190368459412,0.10068211399867,0.059509953702588
 01/01  00:35:00,0,0.149186915887728,0.105290230182048,0.132256836876564,0.114073018229086,0.20364173426551,0.14621255722585, 08/01  00:35:00,0,0.094146293417165,0.013243989575288,0.09133759404036,0.104381945049225,0.095792297952556,0.056926819985664
 01/01  00:40:00,0,0.149186915887728,0.105290230182048,0.132256836876564,0.114073018229086,0.20364173426551,0.14621255722585, 08/01  00:40:00,0,0.094146293417165,0.013243989575288,0.09133759404036,0.104381945049225,0.095792297952556,0.056926819985664
 01/01  00:45:00,0,0.149186915887728,0.105290230182048,0.132256836876564,0.114073018229086,0.20364173426551,0.14621255722585, 08/01  00:45:00,0,0.094146293417165,0.013243989575288,0.09133759404036,0.104381945049225,0.095792297952556,0.056926819985664
 01/01  00:50:00,0,0.149132587076407,0.103392519383241,0.132539034963783,0.110949767404039,0.17415808288116,0.137730506793481, 08/01  00:50:00,0,0.093399495743311,0.012796557495042,0.089543256007882,0.102509623164933,0.094894495662122,0.056092727385141
 01/01  00:55:00,0,0.149132587076407,0.103392519383241,0.132539034963783,0.110949767404039,0.17415808288116,0.137730506793481, 08/01  00:55:00,0,0.093399495743311,0.012796557495042,0.089543256007882,0.102509623164933,0.094894495662122,0.056092727385141
